5000	0	0.3048	71.3	0.00266337	121.301
10000	0	0.3048	71.3	0.00266337	115.391
630	0	0.3048	55.5	0.00283081	127.696
12500	0	0.3048	55.5	0.00283081	111.076
630	0	0.3048	39.6	0.00310138	128.629
8000	0	0.3048	39.6	0.00310138	114.779
10000	0	0.3048	39.6	0.00310138	112.139
1600	0	0.3048	31.7	0.00331266	122.365
4000	0	0.3048	31.7	0.00331266	118.145
6300	0	0.3048	31.7	0.00331266	113.775
4000	1.5	0.3048	71.3	0.00336729	121.762
315	1.5	0.3048	39.6	0.00392107	121.851
500	1.5	0.3048	39.6	0.00392107	126.661
2500	1.5	0.3048	39.6	0.00392107	120.981
800	3	0.3048	71.3	0.00425727	129.494
1000	3	0.3048	71.3	0.00425727	129.004
1600	3	0.3048	71.3	0.00425727	126.514
800	3	0.3048	55.5	0.00452492	129.949
800	3	0.3048	39.6	0.00495741	129.552
1600	3	0.3048	39.6	0.00495741	122.782
4000	3	0.3048	39.6	0.00495741	116.792
1000	3	0.3048	31.7	0.00529514	126.838
5000	3	0.3048	31.7	0.00529514	113.858
6300	3	0.3048	31.7	0.00529514	109.718
315	4	0.3048	71.3	0.00497773	128.175
1600	4	0.3048	71.3	0.00497773	126.645
3150	4	0.3048	71.3	0.00497773	121.775
6300	4	0.3048	71.3	0.00497773	116.165
400	4	0.3048	39.6	0.00579636	128.633
500	4	0.3048	39.6	0.00579636	130.173
800	4	0.3048	39.6	0.00579636	130.723
1000	4	0.3048	39.6	0.00579636	128.723
1250	0	0.2286	71.3	0.00214345	128.144
4000	0	0.2286	71.3	0.00214345	125.824
8000	0	0.2286	71.3	0.00214345	118.024
500	0	0.2286	55.5	0.00229336	123.780
5000	0	0.2286	39.6	0.00253511	122.175
630	0	0.2286	31.7	0.0027238	129.465
1600	0	0.2286	31.7	0.0027238	125.625
3150	0	0.2286	31.7	0.0027238	123.445
4000	0	0.2286	31.7	0.0027238	122.035
400	2	0.2286	71.3	0.00293031	125.116
4000	2	0.2286	71.3	0.00293031	124.086
6300	2	0.2286	71.3	0.00293031	120.786
2500	2	0.2286	55.5	0.00313525	123.862
